=== Computing metrics from saved activations ===
--- pythia-14m ---
Computing metrics for 58/58 steps using 18 workers...
  Step 61000: rankme=139.152, alpha=0.745, r2_100=0.998
  Step 44000: rankme=157.851, alpha=0.723, r2_100=0.998
  Step 111000: rankme=238.049, alpha=0.692, r2_100=0.996
  Step 47000: rankme=154.332, alpha=0.720, r2_100=0.998
  Step 79000: rankme=126.414, alpha=0.785, r2_100=0.997
  Step 114000: rankme=258.143, alpha=0.680, r2_100=0.996
  Step 35000: rankme=177.898, alpha=0.719, r2_100=0.998
  Step 143000: rankme=285.373, alpha=0.640, r2_100=0.998
  Step 64: rankme=8.535, alpha=1.421, r2_100=0.973
  Step 140000: rankme=264.327, alpha=0.675, r2_100=0.996
  Step 116000: rankme=226.908, alpha=0.677, r2_100=0.996
  Step 29000: rankme=189.609, alpha=0.717, r2_100=0.998
  Step 93000: rankme=130.883, alpha=0.809, r2_100=0.996
  Step 32: rankme=16.449, alpha=0.734, r2_100=0.993
  Step 53000: rankme=147.200, alpha=0.736, r2_100=0.998
  Step 38000: rankme=166.924, alpha=0.725, r2_100=0.999
  Step 8: rankme=101.686, alpha=0.729, r2_100=0.988
  Step 27000: rankme=200.038, alpha=0.712, r2_100=0.998
  Step 512: rankme=66.153, alpha=1.150, r2_100=0.995
  Step 24000: rankme=206.707, alpha=0.695, r2_100=0.998
  Step 15000: rankme=244.517, alpha=0.696, r2_100=0.999
  Step 102000: rankme=186.689, alpha=0.785, r2_100=0.996
  Step 134000: rankme=280.125, alpha=0.676, r2_100=0.997
  Step 18000: rankme=231.707, alpha=0.686, r2_100=0.999
  Step 50000: rankme=147.743, alpha=0.736, r2_100=0.998
  Step 137000: rankme=283.951, alpha=0.667, r2_100=0.996
  Step 21000: rankme=216.169, alpha=0.696, r2_100=0.999
  Step 108000: rankme=225.418, alpha=0.720, r2_100=0.995
  Step 9000: rankme=278.104, alpha=0.704, r2_100=0.999
  Step 1000: rankme=127.894, alpha=0.869, r2_100=0.997
  Step 105000: rankme=213.515, alpha=0.751, r2_100=0.996
  Step 56000: rankme=140.591, alpha=0.746, r2_100=0.999
  Step 67000: rankme=130.795, alpha=0.760, r2_100=0.998
Saved 58 results to results/results_pythia-160m-deduped.npy
--- pythia-410m ---
Computing metrics for 58/58 steps using 18 workers...
