=== Computing metrics from saved activations ===
--- pythia-14m ---
All 58 steps already have metrics in results/results_pythia-14m.npy
--- pythia-31m ---
All 58 steps already have metrics in results/results_pythia-31m.npy
--- pythia-70m ---
All 58 steps already have metrics in results/results_pythia-70m.npy
--- pythia-160m ---
All 58 steps already have metrics in results/results_pythia-160m.npy
--- pythia-160m-deduped ---
All 58 steps already have metrics in results/results_pythia-160m-deduped.npy
--- pythia-410m ---
All 58 steps already have metrics in results/results_pythia-410m.npy
--- pythia-410m-deduped ---
All 58 steps already have metrics in results/results_pythia-410m-deduped.npy
--- pythia-1b ---
All 58 steps already have metrics in results/results_pythia-1b.npy
--- pythia-1b-deduped ---
Computing metrics for 58/58 steps using 18 workers...
  Step 1000: rankme=270.959, alpha=0.945, r2_100=0.998
  Step 105000: rankme=302.222, alpha=0.889, r2_100=0.997
  Step 56000: rankme=270.959, alpha=0.945, r2_100=0.998
  Step 67000: rankme=371.390, alpha=0.823, r2_100=0.998
Saved 58 results to results/results_pythia-2.8b.npy
--- pythia-2.8b-deduped ---
Computing metrics for 58/58 steps using 18 workers...
  Step 128: rankme=13.503, alpha=1.708, r2_100=0.998
  Step 3000: rankme=419.149, alpha=0.787, r2_100=0.999
  Step 16: rankme=87.834, alpha=0.763, r2_100=0.987
  Step 82000: rankme=338.987, alpha=0.841, r2_100=0.997
  Step 6000: rankme=526.741, alpha=0.761, r2_100=0.999
  Step 0: rankme=211.838, alpha=0.686, r2_100=0.996
  Step 256: rankme=14.963, alpha=1.919, r2_100=0.991
  Step 41000: rankme=500.969, alpha=0.768, r2_100=0.999
  Step 87000: rankme=333.935, alpha=0.852, r2_100=0.998
  Step 96000: rankme=315.594, alpha=0.868, r2_100=0.998
  Step 70000: rankme=374.062, alpha=0.820, r2_100=0.998
  Step 64000: rankme=379.267, alpha=0.819, r2_100=0.998
  Step 99000: rankme=315.273, alpha=0.876, r2_100=0.998
  Step 119000: rankme=289.057, alpha=0.914, r2_100=0.998
  Step 76000: rankme=360.395, alpha=0.831, r2_100=0.998
  Step 32000: rankme=547.270, alpha=0.764, r2_100=0.998
  Step 125000: rankme=282.497, alpha=0.926, r2_100=0.998
  Step 131000: rankme=282.886, alpha=0.928, r2_100=0.998
  Step 58000: rankme=410.296, alpha=0.804, r2_100=0.998
  Step 85000: rankme=327.457, alpha=0.851, r2_100=0.998
  Step 61000: rankme=394.971, alpha=0.805, r2_100=0.998
  Step 44000: rankme=465.326, alpha=0.785, r2_100=0.998
  Step 35000: rankme=520.891, alpha=0.770, r2_100=0.999
  Step 73000: rankme=368.229, alpha=0.830, r2_100=0.998
  Step 90000: rankme=310.098, alpha=0.863, r2_100=0.998
  Step 128000: rankme=281.448, alpha=0.926, r2_100=0.998
  Step 114000: rankme=295.325, alpha=0.905, r2_100=0.998
  Step 122000: rankme=284.307, alpha=0.920, r2_100=0.997
  Step 47000: rankme=454.884, alpha=0.790, r2_100=0.998
  Step 143000: rankme=270.581, alpha=0.944, r2_100=0.998
  Step 140000: rankme=277.692, alpha=0.935, r2_100=0.998
  Step 111000: rankme=294.331, alpha=0.903, r2_100=0.998
  Step 12000: rankme=591.546, alpha=0.758, r2_100=0.999
  Step 79000: rankme=347.273, alpha=0.842, r2_100=0.998
  Step 64: rankme=9.029, alpha=1.731, r2_100=0.988
  Step 116000: rankme=291.133, alpha=0.912, r2_100=0.998
  Step 93000: rankme=320.141, alpha=0.866, r2_100=0.998
  Step 29000: rankme=559.725, alpha=0.764, r2_100=0.998
  Step 32: rankme=4.783, alpha=1.179, r2_100=0.931
  Step 38000: rankme=508.503, alpha=0.774, r2_100=0.998
  Step 50000: rankme=432.026, alpha=0.792, r2_100=0.998
  Step 8: rankme=187.203, alpha=0.708, r2_100=0.992
  Step 137000: rankme=277.332, alpha=0.934, r2_100=0.998
  Step 27000: rankme=573.377, alpha=0.759, r2_100=0.999
  Step 53000: rankme=421.079, alpha=0.795, r2_100=0.998
  Step 15000: rankme=601.471, alpha=0.754, r2_100=0.999
  Step 24000: rankme=576.118, alpha=0.759, r2_100=0.999
  Step 134000: rankme=277.875, alpha=0.931, r2_100=0.998
  Step 512: rankme=47.952, alpha=1.294, r2_100=0.991
  Step 18000: rankme=588.653, alpha=0.755, r2_100=0.999
  Step 102000: rankme=305.468, alpha=0.885, r2_100=0.998
  Step 9000: rankme=568.934, alpha=0.758, r2_100=0.999
  Step 21000: rankme=575.728, alpha=0.761, r2_100=0.999
  Step 108000: rankme=302.693, alpha=0.894, r2_100=0.997
  Step 1000: rankme=154.246, alpha=0.947, r2_100=0.998
  Step 105000: rankme=299.532, alpha=0.889, r2_100=0.997
  Step 56000: rankme=414.825, alpha=0.798, r2_100=0.998
  Step 67000: rankme=368.321, alpha=0.822, r2_100=0.998
Saved 58 results to results/results_pythia-2.8b-deduped.npy
--- pythia-6.9b ---
Computing metrics for 58/58 steps using 18 workers...
  Step 6000: rankme=435.230, alpha=0.834, r2_100=0.999
  Step 76000: rankme=430.294, alpha=0.814, r2_100=0.999
  Step 131000: rankme=297.643, alpha=0.922, r2_100=0.998
  Step 16: rankme=253.142, alpha=0.783, r2_100=0.978
  Step 70000: rankme=454.914, alpha=0.798, r2_100=0.999
  Step 82000: rankme=410.352, alpha=0.823, r2_100=0.999
  Step 128: rankme=11.501, alpha=1.463, r2_100=0.983
